bike_id,times_used,duration,miles
26211,46.0,22548.0,72.02833333333332
26212,71.0,387451.0,1237.6906944444445
26213,57.0,22732.0,72.61611111111114
26214,66.0,38148.0,121.86166666666666
26215,80.0,174606.0,557.7691666666667
26216,71.0,119995.0,383.3173611111111
26217,77.0,37024.0,118.27111111111111
26219,66.0,29481.0,94.17541666666668
26220,13.0,5956.0,19.026111111111113
26221,59.0,22776.0,72.75666666666666
26222,37.0,48564.0,155.13500000000005
26223,66.0,129194.0,412.7030555555555
26224,64.0,37267.0,119.04736111111113
26225,81.0,38998.0,124.57694444444445
26226,68.0,37576.0,120.03444444444445
26227,52.0,18939.0,60.49958333333332
26228,76.0,36993.0,118.1720833333333
26229,68.0,40130.0,128.19305555555547
26230,71.0,55328.0,176.74222222222213
26232,27.0,35665.0,113.92986111111111
26233,60.0,35398.0,113.07694444444446
26234,35.0,19273.0,61.566527777777786
26235,48.0,32132.0,102.6438888888889
26236,63.0,39176.0,125.14555555555557
26237,66.0,30254.0,96.64472222222224
26238,75.0,42688.0,136.36444444444444
26239,60.0,34593.0,110.50541666666666
26240,63.0,65611.0,209.59069444444444
26241,55.0,31602.0,100.95083333333336
26242,33.0,18156.0,57.99833333333333
26243,75.0,35377.0,113.0098611111111
26244,64.0,39150.0,125.06250000000003
26245,51.0,29747.0,95.02513888888888
26247,41.0,27729.0,88.57875000000001
26248,75.0,40458.0,129.24083333333334
26249,71.0,41246.0,131.7580555555555
26250,91.0,48958.0,156.3936111111111
26251,16.0,4150.0,13.256944444444445
26253,83.0,54551.0,174.26013888888895
26254,75.0,49706.0,158.7830555555556
26255,48.0,30767.0,98.28347222222224
26256,61.0,27498.0,87.84083333333334
26257,20.0,13440.0,42.93333333333334
26258,48.0,55340.0,176.7805555555556
26259,39.0,25455.0,81.31458333333333
26260,56.0,29025.0,92.71875000000001
26261,46.0,30027.0,95.9195833333333
26262,36.0,270593.0,864.3943055555555
26263,87.0,40679.0,129.94680555555553
26264,70.0,82024.0,262.02111111111117
26265,51.0,21418.0,68.4186111111111
26266,66.0,35775.0,114.28124999999996
26267,72.0,44424.0,141.90999999999997
26268,68.0,35421.0,113.15041666666669
26269,78.0,57587.0,183.95847222222224
26270,46.0,21786.0,69.59416666666665
26271,45.0,23796.0,76.01500000000001
26272,64.0,41308.0,131.9561111111111
26273,64.0,47394.0,151.3975
26274,48.0,29095.0,92.9423611111111
26275,85.0,45062.0,143.94805555555558
26276,91.0,76958.0,245.8380555555555
26277,44.0,15408.0,49.22
26278,7.0,3120.0,9.966666666666667
26279,46.0,22681.0,72.45319444444446
26280,42.0,28579.0,91.29402777777779
26281,61.0,35282.0,112.70638888888885
26282,25.0,14337.0,45.798750000000005
26283,26.0,34237.0,109.36819444444447
26284,9.0,4504.0,14.387777777777778
26285,69.0,43141.0,137.81152777777777
26286,67.0,28968.0,92.53666666666669
26287,73.0,44657.0,142.65430555555557
26288,80.0,41040.0,131.09999999999997
26289,80.0,32353.0,103.34986111111108
26290,68.0,47667.0,152.26958333333334
26291,67.0,28885.0,92.27152777777776
26292,50.0,49438.0,157.92694444444447
26293,39.0,29834.0,95.30305555555555
26294,66.0,34417.0,109.94319444444442
26295,76.0,49762.0,158.96194444444447
26296,33.0,20088.0,64.17000000000002
26297,61.0,33286.0,106.33027777777777
26298,78.0,52571.0,167.93513888888884
26299,63.0,33544.0,107.15444444444447
26300,72.0,46494.0,148.52249999999998
26301,41.0,27770.0,88.70972222222223
26302,35.0,26323.0,84.08736111111111
26303,79.0,57398.0,183.35472222222225
26304,64.0,38152.0,121.87444444444448
26305,58.0,45876.0,146.5483333333333
26306,75.0,45735.0,146.09791666666663
26307,48.0,20711.0,66.16013888888888
26308,63.0,40225.0,128.49652777777777
26309,88.0,46771.0,149.40736111111113
26310,93.0,44463.0,142.03458333333333
26311,87.0,43348.0,138.4727777777778
26312,84.0,38247.0,122.17791666666666
